Tagged
"àillidh<Aq-s>, , àillidhe<Apc>, , , , àillidh<Aq-p>, , àillidh<Aq-smg>, , àillidhe<Aq-sfg>, , àillidh<Aq-sfd>, , , "
"aillseach<Aq-s>, , aillsiche<Apc>, , , , aillseach<Aq-p>, , aillsich<Aq-smg>, , aillsiche<Aq-sfg>, , aillsich<Aq-sfd>, , , "
"Aillseach<Aq-s>, , Aillsiche<Apc>, , , , Aillseach<Aq-p>, , Aillsich<Aq-smg>, , Aillsiche<Aq-sfg>, , Aillsich<Aq-sfd>, , , "
"Ailpeach<Aq-s>, , Ailpiche<Apc>, , , , Ailpeach<Aq-p>, , Ailpich<Aq-smg>, , Ailpiche<Aq-sfg>, , Ailpich<Aq-sfd>, , , "
"ailseabrach<Aq-s>, , ailseabraiche<Apc>, , , , ailseabrach<Aq-p>, , ailseabraich<Aq-smg>, , ailseabraiche<Aq-sfg>, , ailseabraich<Aq-sfd>, , , "
"àilt<Aq-s>, , àilte<Apc>, , , , àilte<Aq-p>, , àilt<Aq-smg>, , àilte<Aq-sfg>, , àilt<Aq-sfd>, , , "
"ailtireach<Aq-s>, , ailtiriche<Apc>, , , , ailtireach<Aq-p>, , ailtirich<Aq-smg>, , ailtiriche<Aq-sfg>, , ailtirich<Aq-sfd>, , , "
"aimbeartach<Aq-s>, aimbeairteach<Aq-s>, , aimbeartaiche<Apc>, aimbeairtiche<Apc>, , , , aimbeartach<Aq-p>, aimbeairteach<Aq-p>, , aimbeartaich<Aq-smg>, aimbeairtich<Aq-smg>, , aimbeartaiche<Aq-sfg>, aimbeairtiche<Aq-sfg>, , aimbeartaich<Aq-sfd>, aimbeairtich<Aq-sfd>, , , "
"Aimeireaganach<Aq-s>, Ameireaganach<Aq-s>, , Aimeireaganaiche<Apc>, Ameireaganaiche<Apc>, , , , Aimeireaganach<Aq-p>, Ameireaganach<Aq-p>, , Aimeireaganaich<Aq-smg>, Ameireaganaich<Aq-smg>, , Aimeireaganaiche<Aq-sfg>, Ameireaganaiche<Aq-sfg>, , Aimeireaganaich<Aq-sfd>, Ameireaganaich<Aq-sfd>, , , "
"Aimeirigeach<Aq-s>, Ameireagach<Aq-s>, , Aimeirigiche<Apc>, Ameirigiche<Apc>, , , , Aimeirigeach<Aq-p>, Ameireagach<Aq-p>, , Aimeirigich<Aq-smg>, Ameirigich<Aq-smg>, , Aimeirigiche<Aq-sfg>, Ameirigiche<Aq-sfg>, , Aimeirigich<Aq-sfd>, Ameirigich<Aq-sfd>, , , "
