Tagged
"sìochainteil<Aq-s>, shìochainteil<Aq-s--l>, sìochainteile<Apc>, shìochainteile<Apc--l>, , , sìochainteil<Aq-p>, shìochainteil<Aq-p--l>, sìochainteil<Aq-smg>, shìochainteil<Aq-smg--l>, sìochainteile<Aq-sfg>, shìochainteile<Aq-sfg--l>, sìochainteil<Aq-sfd>, shìochainteil<Aq-sfd--l>, , "
"sìodach<Aq-s>, shìodach<Aq-s--l>, sìodaiche<Apc>, shìodaiche<Apc--l>, , , sìodach<Aq-p>, shìodach<Aq-p--l>, sìodaich<Aq-smg>, shìodaich<Aq-smg--l>, sìodaiche<Aq-sfg>, shìodaiche<Aq-sfg--l>, sìodaich<Aq-sfd>, shìodaich<Aq-sfd--l>, , "
"sìogach<Aq-s>, shìogach<Aq-s--l>, sìogaiche<Apc>, shìogaiche<Apc--l>, , , sìogach<Aq-p>, shìogach<Aq-p--l>, sìogaich<Aq-smg>, shìogaich<Aq-smg--l>, sìogaiche<Aq-sfg>, shìogaiche<Aq-sfg--l>, sìogaich<Aq-sfd>, shìogaich<Aq-sfd--l>, , "
"sìogaidh<Aq-s>, shìogaidh<Aq-s--l>, sìogaidhe<Apc>, shìogaidhe<Apc--l>, , , sìogaidh<Aq-p>, shìogaidh<Aq-p--l>, sìogaidh<Aq-smg>, shìogaidh<Aq-smg--l>, sìogaidhe<Aq-sfg>, shìogaidhe<Aq-sfg--l>, sìogaidh<Aq-sfd>, shìogaidh<Aq-sfd--l>, , "
"sìogail<Aq-s>, shìogail<Aq-s--l>, sìogaile<Apc>, shìogaile<Apc--l>, , , sìogail<Aq-p>, shìogail<Aq-p--l>, sìogail<Aq-smg>, shìogail<Aq-smg--l>, sìogaile<Aq-sfg>, shìogaile<Aq-sfg--l>, sìogail<Aq-sfd>, shìogail<Aq-sfd--l>, , "
"sìol-sgriosach<Aq-s>, shìol-sgriosach<Aq-s--l>, sìol-sgriosaiche<Apc>, shìol-sgriosaiche<Apc--l>, , , sìol-sgriosach<Aq-p>, shìol-sgriosach<Aq-p--l>, sìol-sgriosaich<Aq-smg>, shìol-sgriosaich<Aq-smg--l>, sìol-sgriosaiche<Aq-sfg>, shìol-sgriosaiche<Aq-sfg--l>, sìol-sgriosaich<Aq-sfd>, shìol-sgriosaich<Aq-sfd--l>, , "
"sìolaichte<Aq-s>, shìolaichte<Aq-s--l>, sìolaichte<Apc>, shìolaichte<Apc--l>, , , sìolaichte<Aq-p>, shìolaichte<Aq-p--l>, sìolaichte<Aq-smg>, shìolaichte<Aq-smg--l>, sìolaichte<Aq-sfg>, shìolaichte<Aq-sfg--l>, sìolaichte<Aq-sfd>, shìolaichte<Aq-sfd--l>, , "
"siolandrach<Aq-s>, shiolandrach<Aq-s--l>, siolandraiche<Apc>, shiolandraiche<Apc--l>, , , siolandrach<Aq-p>, shiolandrach<Aq-p--l>, siolandraich<Aq-smg>, shiolandraich<Aq-smg--l>, siolandraiche<Aq-sfg>, shiolandraiche<Aq-sfg--l>, siolandraich<Aq-sfd>, shiolandraich<Aq-sfd--l>, , "
"sìolmhor<Aq-s>, sìolar<Aq-s>, shìolmhor<Aq-s--l>, shìolar<Aq-s--l>, sìolmhoire<Apc>, sìolaire<Apc>, shìolmhoire<Apc--l>, shìolaire<Apc--l>, , , sìolmhor<Aq-p>, sìolar<Aq-p>, shìolmhor<Aq-p--l>, shìolar<Aq-p--l>, sìolmhoir<Aq-smg>, sìolair<Aq-smg>, shìolmhoir<Aq-smg--l>, shìolair<Aq-smg--l>, sìolmhoire<Aq-sfg>, sìolaire<Aq-sfg>, shìolmhoire<Aq-sfg--l>, shìolaire<Aq-sfg--l>, sìolmhoir<Aq-sfd>, sìolair<Aq-sfd>, shìolmhoir<Aq-sfd--l>, shìolair<Aq-sfd--l>, , "
"siom-plasmach<Aq-s>, shiom-plasmach<Aq-s--l>, siom-plasmaiche<Apc>, shiom-plasmaiche<Apc--l>, , , siom-plasmach<Aq-p>, shiom-plasmach<Aq-p--l>, siom-plasmaich<Aq-smg>, shiom-plasmaich<Aq-smg--l>, siom-plasmaiche<Aq-sfg>, shiom-plasmaiche<Aq-sfg--l>, siom-plasmaich<Aq-sfd>, shiom-plasmaich<Aq-sfd--l>, , "
"sìomanaichte<Aq-s>, shìomanaichte<Aq-s--l>, sìomanaichte<Apc>, shìomanaichte<Apc--l>, , , sìomanaichte<Aq-p>, shìomanaichte<Aq-p--l>, sìomanaichte<Aq-smg>, shìomanaichte<Aq-smg--l>, sìomanaichte<Aq-sfg>, shìomanaichte<Aq-sfg--l>, sìomanaichte<Aq-sfd>, shìomanaichte<Aq-sfd--l>, , "
"Sìombabuthach<Aq-s>, Shìombabuthach<Aq-s--l>, Sìombabuthaiche<Apc>, Shìombabuthaiche<Apc--l>, , , Sìombabuthach<Aq-p>, Shìombabuthach<Aq-p--l>, Sìombabuthaich<Aq-smg>, Shìombabuthaich<Aq-smg--l>, Sìombabuthaiche<Aq-sfg>, Shìombabuthaiche<Aq-sfg--l>, Sìombabuthaich<Aq-sfd>, Shìombabuthaich<Aq-sfd--l>, , "
"siomlaidh<Aq-s>, shiomlaidh<Aq-s--l>, siomlaidhe<Apc>, shiomlaidhe<Apc--l>, , , siomlaidh<Aq-p>, shiomlaidh<Aq-p--l>, siomlaidh<Aq-smg>, shiomlaidh<Aq-smg--l>, siomlaidhe<Aq-sfg>, shiomlaidhe<Aq-sfg--l>, siomlaidh<Aq-sfd>, shiomlaidh<Aq-sfd--l>, , "
"siomptomach<Aq-s>, shiomptomach<Aq-s--l>, siomptomaiche<Apc>, shiomptomaiche<Apc--l>, , , siomptomach<Aq-p>, shiomptomach<Aq-p--l>, siomptomaich<Aq-smg>, shiomptomaich<Aq-smg--l>, siomptomaiche<Aq-sfg>, shiomptomaiche<Aq-sfg--l>, siomptomaich<Aq-sfd>, shiomptomaich<Aq-sfd--l>, , "
"Sìonach<Aq-s>, Shìonach<Aq-s--l>, Sìonaiche<Apc>, Shìonaiche<Apc--l>, , , Sìonach<Aq-p>, Shìonach<Aq-p--l>, Sìonaich<Aq-smg>, Shìonaich<Aq-smg--l>, Sìonaiche<Aq-sfg>, Shìonaiche<Aq-sfg--l>, Sìonaich<Aq-sfd>, Shìonaich<Aq-sfd--l>, , "
"sioncraideach<Aq-s>, shioncraideach<Aq-s--l>, sioncraidiche<Apc>, shioncraidiche<Apc--l>, , , sioncraideach<Aq-p>, shioncraideach<Aq-p--l>, sioncraidich<Aq-smg>, shioncraidich<Aq-smg--l>, sioncraidiche<Aq-sfg>, shioncraidiche<Aq-sfg--l>, sioncraidich<Aq-sfd>, shioncraidich<Aq-sfd--l>, , "
"sioncronach<Aq-s>, shioncronach<Aq-s--l>, sioncronaiche<Apc>, shioncronaiche<Apc--l>, , , sioncronach<Aq-p>, shioncronach<Aq-p--l>, sioncronaich<Aq-smg>, shioncronaich<Aq-smg--l>, sioncronaiche<Aq-sfg>, shioncronaiche<Aq-sfg--l>, sioncronaich<Aq-sfd>, shioncronaich<Aq-sfd--l>, , "
"siondacaidichte<Aq-s>, shiondacaidichte<Aq-s--l>, siondacaidichte<Apc>, shiondacaidichte<Apc--l>, , , siondacaidichte<Aq-p>, shiondacaidichte<Aq-p--l>, siondacaidichte<Aq-smg>, shiondacaidichte<Aq-smg--l>, siondacaidichte<Aq-sfg>, shiondacaidichte<Aq-sfg--l>, siondacaidichte<Aq-sfd>, shiondacaidichte<Aq-sfd--l>, , "
"sionn<Aq-s>, shionn<Aq-s--l>, , , , , sionna<Aq-p>, shionna<Aq-p--l>, , , , , , , , "
"sionnachail<Aq-s>, shionnachail<Aq-s--l>, sionnachaile<Apc>, shionnachaile<Apc--l>, , , sionnachail<Aq-p>, shionnachail<Aq-p--l>, sionnachail<Aq-smg>, shionnachail<Aq-smg--l>, sionnachaile<Aq-sfg>, shionnachaile<Aq-sfg--l>, sionnachail<Aq-sfd>, shionnachail<Aq-sfd--l>, , "
"sionoptaig<Aq-s>, shionoptaig<Aq-s--l>, sionoptaige<Apc>, shionoptaige<Apc--l>, , , sionoptaig<Aq-p>, shionoptaig<Aq-p--l>, sionoptaig<Aq-smg>, shionoptaig<Aq-smg--l>, sionoptaige<Aq-sfg>, shionoptaige<Aq-sfg--l>, sionoptaig<Aq-sfd>, shionoptaig<Aq-sfd--l>, , "
"Siopsach<Aq-s>, Shiopsach<Aq-s--l>, Siopsaiche<Apc>, Shiopsaiche<Apc--l>, , , Siopsach<Aq-p>, Shiopsach<Aq-p--l>, Siopsaich<Aq-smg>, Shiopsaich<Aq-smg--l>, Siopsaiche<Aq-sfg>, Shiopsaiche<Aq-sfg--l>, Siopsaich<Aq-sfd>, Shiopsaich<Aq-sfd--l>, , "
"sìor<Ar>, shìor<Ar--l>, , , , , , , , , , , , , , "
"sìor-bhuan<Aq-s>, shìor-bhuan<Aq-s--l>, sìor-bhuaine<Apc>, shìor-bhuaine<Apc--l>, , , sìor-bhuan<Aq-p>, shìor-bhuan<Aq-p--l>, sìor-bhuain<Aq-smg>, shìor-bhuain<Aq-smg--l>, sìor-bhuaine<Aq-sfg>, shìor-bhuaine<Aq-sfg--l>, sìor-bhuain<Aq-sfd>, shìor-bhuain<Aq-sfd--l>, , "
"sìor-ghaisgeil<Aq-s>, shìor-ghaisgeil<Aq-s--l>, sìor-ghaisgeile<Apc>, shìor-ghaisgeile<Apc--l>, , , sìor-ghaisgeil<Aq-p>, shìor-ghaisgeil<Aq-p--l>, sìor-ghaisgeil<Aq-smg>, shìor-ghaisgeil<Aq-smg--l>, sìor-ghaisgeile<Aq-sfg>, shìor-ghaisgeile<Aq-sfg--l>, sìor-ghaisgeil<Aq-sfd>, shìor-ghaisgeil<Aq-sfd--l>, , "
"sìor-ghnàthach<Aq-s>, shìor-ghnàthach<Aq-s--l>, sìor-ghnàthaiche<Apc>, shìor-ghnàthaiche<Apc--l>, , , sìor-ghnàthach<Aq-p>, shìor-ghnàthach<Aq-p--l>, sìor-ghnàthaich<Aq-smg>, shìor-ghnàthaich<Aq-smg--l>, sìor-ghnàthaiche<Aq-sfg>, shìor-ghnàthaiche<Aq-sfg--l>, sìor-ghnàthaich<Aq-sfd>, shìor-ghnàthaich<Aq-sfd--l>, , "
"sìor-ghorm<Aq-s>, shìor-ghorm<Aq-s--l>, sìor-ghuirme<Apc>, shìor-ghuirme<Apc--l>, , , sìor-ghorm<Aq-p>, shìor-ghorm<Aq-p--l>, sìor-ghuirm<Aq-smg>, shìor-ghuirm<Aq-smg--l>, sìor-ghuirme<Aq-sfg>, shìor-ghuirme<Aq-sfg--l>, sìor-ghuirm<Aq-sfd>, shìor-ghuirm<Aq-sfd--l>, , "
"sìor-mhaireannach<Aq-s>, shìor-mhaireannach<Aq-s--l>, sìor-mhaireannaiche<Apc>, shìor-mhaireannaiche<Apc--l>, , , sìor-mhaireannach<Aq-p>, shìor-mhaireannach<Aq-p--l>, sìor-mhaireannaich<Aq-smg>, shìor-mhaireannaich<Aq-smg--l>, sìor-mhaireannaiche<Aq-sfg>, shìor-mhaireannaiche<Aq-sfg--l>, sìor-mhaireannaich<Aq-sfd>, shìor-mhaireannaich<Aq-sfd--l>, , "
"sìor-uaine<Aq-s>, shìor-uaine<Aq-s--l>, sìor-uaine<Apc>, shìor-uaine<Apc--l>, , , sìor-uaine<Aq-p>, shìor-uaine<Aq-p--l>, sìor-uaine<Aq-smg>, shìor-uaine<Aq-smg--l>, sìor-uaine<Aq-sfg>, shìor-uaine<Aq-sfg--l>, sìor-uaine<Aq-sfd>, shìor-uaine<Aq-sfd--l>, , "
"sìorraidh<Aq-s>, sìorruidh<Aq-s>, shìorraidh<Aq-s--l>, shìorruidh<Aq-s--l>, sìorraidhe<Apc>, sìorruidhe<Apc>, shìorraidhe<Apc--l>, shìorruidhe<Apc--l>, , , sìorraidh<Aq-p>, sìorruidh<Aq-p>, shìorraidh<Aq-p--l>, shìorruidh<Aq-p--l>, sìorraidh<Aq-smg>, sìorruidh<Aq-smg>, shìorraidh<Aq-smg--l>, shìorruidh<Aq-smg--l>, sìorraidhe<Aq-sfg>, sìorruidhe<Aq-sfg>, shìorraidhe<Aq-sfg--l>, shìorruidhe<Aq-sfg--l>, sìorraidh<Aq-sfd>, sìorruidh<Aq-sfd>, shìorraidh<Aq-sfd--l>, shìorruidh<Aq-sfd--l>, , "
"siostam-dhèante<Aq-s>, shiostam-dhèante<Aq-s--l>, siostam-dhèante<Apc>, shiostam-dhèante<Apc--l>, , , siostam-dhèante<Aq-p>, shiostam-dhèante<Aq-p--l>, siostam-dhèante<Aq-smg>, shiostam-dhèante<Aq-smg--l>, siostam-dhèante<Aq-sfg>, shiostam-dhèante<Aq-sfg--l>, siostam-dhèante<Aq-sfd>, shiostam-dhèante<Aq-sfd--l>, , "
"siostamach<Aq-s>, shiostamach<Aq-s--l>, siostamaiche<Apc>, shiostamaiche<Apc--l>, , , siostamach<Aq-p>, shiostamach<Aq-p--l>, siostamaich<Aq-smg>, shiostamaich<Aq-smg--l>, siostamaiche<Aq-sfg>, shiostamaiche<Aq-sfg--l>, siostamaich<Aq-sfd>, shiostamaich<Aq-sfd--l>, , "
"siostamataigeach<Aq-s>, shiostamataigeach<Aq-s--l>, siostamataigiche<Apc>, shiostamataigiche<Apc--l>, , , siostamataigeach<Aq-p>, shiostamataigeach<Aq-p--l>, siostamataigich<Aq-smg>, shiostamataigich<Aq-smg--l>, siostamataigiche<Aq-sfg>, shiostamataigiche<Aq-sfg--l>, siostamataigich<Aq-sfd>, shiostamataigich<Aq-sfd--l>, , "
"sireach<Aq-s>, shireach<Aq-s--l>, siriche<Apc>, shiriche<Apc--l>, , , sireach<Aq-p>, shireach<Aq-p--l>, sirich<Aq-smg>, shirich<Aq-smg--l>, siriche<Aq-sfg>, shiriche<Aq-sfg--l>, sirich<Aq-sfd>, shirich<Aq-sfd--l>, , "
"Siridheach<Aq-s>, Shiridheach<Aq-s--l>, Siridhiche<Apc>, Shiridhiche<Apc--l>, , , Siridheach<Aq-p>, Shiridheach<Aq-p--l>, Siridhich<Aq-smg>, Shiridhich<Aq-smg--l>, Siridhiche<Aq-sfg>, Shiridhiche<Aq-sfg--l>, Siridhich<Aq-sfd>, Shiridhich<Aq-sfd--l>, , "
"Sisileach<Aq-s>, Shisileach<Aq-s--l>, Sisiliche<Apc>, Shisiliche<Apc--l>, , , Sisileach<Aq-p>, Shisileach<Aq-p--l>, Sisilich<Aq-smg>, Shisilich<Aq-smg--l>, Sisiliche<Aq-sfg>, Shisiliche<Aq-sfg--l>, Sisilich<Aq-sfd>, Shisilich<Aq-sfd--l>, , "
"sìtheach<Aq-s>, shìtheach<Aq-s--l>, sìthiche<Apc>, shìthiche<Apc--l>, , , sìtheach<Aq-p>, shìtheach<Aq-p--l>, sìthich<Aq-smg>, shìthich<Aq-smg--l>, sìthiche<Aq-sfg>, shìthiche<Aq-sfg--l>, sìthich<Aq-sfd>, shìthich<Aq-sfd--l>, , "
"sitheach<Aq-s>, shitheach<Aq-s--l>, sithiche<Apc>, shithiche<Apc--l>, , , sitheach<Aq-p>, shitheach<Aq-p--l>, sithich<Aq-smg>, shithich<Aq-smg--l>, sithiche<Aq-sfg>, shithiche<Aq-sfg--l>, sithich<Aq-sfd>, shithich<Aq-sfd--l>, , "
"sìtheanach<Aq-s>, shìtheanach<Aq-s--l>, sìtheanaiche<Apc>, shìtheanaiche<Apc--l>, , , sìtheanach<Aq-p>, shìtheanach<Aq-p--l>, sìtheanaich<Aq-smg>, shìtheanaich<Aq-smg--l>, sìtheanaiche<Aq-sfg>, shìtheanaiche<Aq-sfg--l>, sìtheanaich<Aq-sfd>, shìtheanaich<Aq-sfd--l>, , "
"sitheannach<Aq-s>, shitheannach<Aq-s--l>, sitheannaiche<Apc>, shitheannaiche<Apc--l>, , , sitheannach<Aq-p>, shitheannach<Aq-p--l>, sitheannaich<Aq-smg>, shitheannaich<Aq-smg--l>, sitheannaiche<Aq-sfg>, shitheannaiche<Aq-sfg--l>, sitheannaich<Aq-sfd>, shitheannaich<Aq-sfd--l>, , "
"sìtheil<Aq-s>, sìthchail<Aq-s>, shìtheil<Aq-s--l>, shìthchail<Aq-s--l>, sìtheile<Apc>, sìthchaile<Apc>, shìtheile<Apc--l>, shìthchaile<Apc--l>, , , sìtheil<Aq-p>, sìthchail<Aq-p>, shìtheil<Aq-p--l>, shìthchail<Aq-p--l>, sìtheil<Aq-smg>, sìthchail<Aq-smg>, shìtheil<Aq-smg--l>, shìthchail<Aq-smg--l>, sìtheile<Aq-sfg>, sìthchaile<Aq-sfg>, shìtheile<Aq-sfg--l>, shìthchaile<Aq-sfg--l>, sìtheil<Aq-sfd>, sìthchail<Aq-sfd>, shìtheil<Aq-sfd--l>, shìthchail<Aq-sfd--l>, , "
"sìthichte<Aq-s>, shìthichte<Aq-s--l>, sìthichte<Apc>, shìthichte<Apc--l>, , , sìthichte<Aq-p>, shìthichte<Aq-p--l>, sìthichte<Aq-smg>, shìthichte<Aq-smg--l>, sìthichte<Aq-sfg>, shìthichte<Aq-sfg--l>, sìthichte<Aq-sfd>, shìthichte<Aq-sfd--l>, , "
"sìthte<Aq-s>, shìthte<Aq-s--l>, sìthte<Apc>, shìthte<Apc--l>, , , sìthte<Aq-p>, shìthte<Aq-p--l>, sìthte<Aq-smg>, shìthte<Aq-smg--l>, sìthte<Aq-sfg>, shìthte<Aq-sfg--l>, sìthte<Aq-sfd>, shìthte<Aq-sfd--l>, , "
"Sitianach<Aq-s>, Shitianach<Aq-s--l>, Sitianaiche<Apc>, Shitianaiche<Apc--l>, , , Sitianach<Aq-p>, Shitianach<Aq-p--l>, Sitianaich<Aq-smg>, Shitianaich<Aq-smg--l>, Sitianaiche<Aq-sfg>, Shitianaiche<Aq-sfg--l>, Sitianaich<Aq-sfd>, Shitianaich<Aq-sfd--l>, , "
"sitigeach<Aq-s>, shitigeach<Aq-s--l>, sitigiche<Apc>, shitigiche<Apc--l>, , , sitigeach<Aq-p>, shitigeach<Aq-p--l>, sitigich<Aq-smg>, shitigich<Aq-smg--l>, sitigiche<Aq-sfg>, shitigiche<Aq-sfg--l>, sitigich<Aq-sfd>, shitigich<Aq-sfd--l>, , "
"siùbhlach<Aq-s>, shiùbhlach<Aq-s--l>, siùbhlaiche<Apc>, shiùbhlaiche<Apc--l>, , , siùbhlach<Aq-p>, shiùbhlach<Aq-p--l>, siùbhlaich<Aq-smg>, shiùbhlaich<Aq-smg--l>, siùbhlaiche<Aq-sfg>, shiùbhlaiche<Aq-sfg--l>, siùbhlaich<Aq-sfd>, shiùbhlaich<Aq-sfd--l>, , "
"siùcarach<Aq-s>, shiùcarach<Aq-s--l>, siùcaraiche<Apc>, shiùcaraiche<Apc--l>, , , siùcarach<Aq-p>, shiùcarach<Aq-p--l>, siùcaraich<Aq-smg>, shiùcaraich<Aq-smg--l>, siùcaraiche<Aq-sfg>, shiùcaraiche<Aq-sfg--l>, siùcaraich<Aq-sfd>, shiùcaraich<Aq-sfd--l>, , "
"siulpach<Aq-s>, shiulpach<Aq-s--l>, siulpaiche<Apc>, shiulpaiche<Apc--l>, , , siulpach<Aq-p>, shiulpach<Aq-p--l>, siulpaich<Aq-smg>, shiulpaich<Aq-smg--l>, siulpaiche<Aq-sfg>, shiulpaiche<Aq-sfg--l>, siulpaich<Aq-sfd>, shiulpaich<Aq-sfd--l>, , "
"siùrsachail<Aq-s>, shiùrsachail<Aq-s--l>, siùrsachaile<Apc>, shiùrsachaile<Apc--l>, , , siùrsachail<Aq-p>, shiùrsachail<Aq-p--l>, siùrsachail<Aq-smg>, shiùrsachail<Aq-smg--l>, siùrsachaile<Aq-sfg>, shiùrsachaile<Aq-sfg--l>, siùrsachail<Aq-sfd>, shiùrsachail<Aq-sfd--l>, , "
"Slàbhach<Aq-s>, Shlàbhach<Aq-s--l>, Slàbhaiche<Apc>, Shlàbhaiche<Apc--l>, , , Slàbhach<Aq-p>, Shlàbhach<Aq-p--l>, Slàbhaich<Aq-smg>, Shlàbhaich<Aq-smg--l>, Slàbhaiche<Aq-sfg>, Shlàbhaiche<Aq-sfg--l>, Slàbhaich<Aq-sfd>, Shlàbhaich<Aq-sfd--l>, , "
"slabhraidheach<Aq-s>, shlabhraidheach<Aq-s--l>, slabhraidhiche<Apc>, shlabhraidhiche<Apc--l>, , , slabhraidheach<Aq-p>, shlabhraidheach<Aq-p--l>, slabhraidhich<Aq-smg>, shlabhraidhich<Aq-smg--l>, slabhraidhiche<Aq-sfg>, shlabhraidhiche<Aq-sfg--l>, slabhraidhich<Aq-sfd>, shlabhraidhich<Aq-sfd--l>, , "
"slac<Aq-s>, shlac<Aq-s--l>, slaice<Apc>, shlaice<Apc--l>, , , slaca<Aq-p>, shlaca<Aq-p--l>, slaic<Aq-smg>, shlaic<Aq-smg--l>, slaice<Aq-sfg>, shlaice<Aq-sfg--l>, slaic<Aq-sfd>, shlaic<Aq-sfd--l>, , "
"slàibeach<Aq-s>, shlàibeach<Aq-s--l>, slàibiche<Apc>, shlàibiche<Apc--l>, , , slàibeach<Aq-p>, shlàibeach<Aq-p--l>, slàibich<Aq-smg>, shlàibich<Aq-smg--l>, slàibiche<Aq-sfg>, shlàibiche<Aq-sfg--l>, slàibich<Aq-sfd>, shlàibich<Aq-sfd--l>, , "
"slaightearach<Aq-s>, shlaightearach<Aq-s--l>, slaightearaiche<Apc>, shlaightearaiche<Apc--l>, , , slaightearach<Aq-p>, shlaightearach<Aq-p--l>, slaightearaich<Aq-smg>, shlaightearaich<Aq-smg--l>, slaightearaiche<Aq-sfg>, shlaightearaiche<Aq-sfg--l>, slaightearaich<Aq-sfd>, shlaightearaich<Aq-sfd--l>, , "
"slàinteachail<Aq-s>, shlàinteachail<Aq-s--l>, slàinteachaile<Apc>, shlàinteachaile<Apc--l>, , , slàinteachail<Aq-p>, shlàinteachail<Aq-p--l>, slàinteachail<Aq-smg>, shlàinteachail<Aq-smg--l>, slàinteachaile<Aq-sfg>, shlàinteachaile<Aq-sfg--l>, slàinteachail<Aq-sfd>, shlàinteachail<Aq-sfd--l>, , "
"slàinteil<Aq-s>, shlàinteil<Aq-s--l>, slàinteile<Apc>, shlàinteile<Apc--l>, , , slàinteil<Aq-p>, shlàinteil<Aq-p--l>, slàinteil<Aq-smg>, shlàinteil<Aq-smg--l>, slàinteile<Aq-sfg>, shlàinteile<Aq-sfg--l>, slàinteil<Aq-sfd>, shlàinteil<Aq-sfd--l>, , "
"slamanach<Aq-s>, shlamanach<Aq-s--l>, slamanaiche<Apc>, shlamanaiche<Apc--l>, , , slamanach<Aq-p>, shlamanach<Aq-p--l>, slamanaich<Aq-smg>, shlamanaich<Aq-smg--l>, slamanaiche<Aq-sfg>, shlamanaiche<Aq-sfg--l>, slamanaich<Aq-sfd>, shlamanaich<Aq-sfd--l>, , "
"slàn<Aq-s>, shlàn<Aq-s--l>, slàine<Apc>, shlàine<Apc--l>, slàinead<Aps>, shlàinead<Aps--l>, slàna<Aq-p>, shlàna<Aq-p--l>, slàin<Aq-smg>, shlàin<Aq-smg--l>, slàine<Aq-sfg>, shlàine<Aq-sfg--l>, slàin<Aq-sfd>, shlàin<Aq-sfd--l>, , "
"slàn-chluasach<Aq-s>, shlàn-chluasach<Aq-s--l>, slàn-chluasaiche<Apc>, shlàn-chluasaiche<Apc--l>, , , slàn-chluasach<Aq-p>, shlàn-chluasach<Aq-p--l>, slàn-chluasaich<Aq-smg>, shlàn-chluasaich<Aq-smg--l>, slàn-chluasaiche<Aq-sfg>, shlàn-chluasaiche<Aq-sfg--l>, slàn-chluasaich<Aq-sfd>, shlàn-chluasaich<Aq-sfd--l>, , "
"slànach<Aq-s>, slànuch<Aq-s>, shlànach<Aq-s--l>, shlànuch<Aq-s--l>, slànaiche<Apc>, slànuiche<Apc>, shlànaiche<Apc--l>, shlànuiche<Apc--l>, , , slànach<Aq-p>, slànuch<Aq-p>, shlànach<Aq-p--l>, shlànuch<Aq-p--l>, slànaich<Aq-smg>, slànuich<Aq-smg>, shlànaich<Aq-smg--l>, shlànuich<Aq-smg--l>, slànaiche<Aq-sfg>, slànuiche<Aq-sfg>, shlànaiche<Aq-sfg--l>, shlànuiche<Aq-sfg--l>, slànaich<Aq-sfd>, slànuich<Aq-sfd>, shlànaich<Aq-sfd--l>, shlànuich<Aq-sfd--l>, , "
"slànmhor<Aq-s>, shlànmhor<Aq-s--l>, slànmhoire<Apc>, shlànmhoire<Apc--l>, , , slànmhor<Aq-p>, shlànmhor<Aq-p--l>, slànmhoir<Aq-smg>, shlànmhoir<Aq-smg--l>, slànmhoire<Aq-sfg>, shlànmhoire<Aq-sfg--l>, slànmhoir<Aq-sfd>, shlànmhoir<Aq-sfd--l>, , "
"slaodach<Aq-s>, shlaodach<Aq-s--l>, slaodaiche<Apc>, shlaodaiche<Apc--l>, , , slaodach<Aq-p>, shlaodach<Aq-p--l>, slaodaich<Aq-smg>, shlaodaich<Aq-smg--l>, slaodaiche<Aq-sfg>, shlaodaiche<Aq-sfg--l>, slaodaich<Aq-sfd>, shlaodaich<Aq-sfd--l>, , "
"slaodte<Aq-s>, slaodta<Aq-s>, slaoidte<Aq-s>, shlaodte<Aq-s--l>, shlaodta<Aq-s--l>, shlaoidte<Aq-s--l>, slaodte<Apc>, slaodta<Apc>, slaoidte<Apc>, shlaodte<Apc--l>, shlaodta<Apc--l>, shlaoidte<Apc--l>, , , slaodte<Aq-p>, slaodta<Aq-p>, slaoidte<Aq-p>, shlaodte<Aq-p--l>, shlaodta<Aq-p--l>, shlaoidte<Aq-p--l>, slaodte<Aq-smg>, slaodta<Aq-smg>, slaoidte<Aq-smg>, shlaodte<Aq-smg--l>, shlaodta<Aq-smg--l>, shlaoidte<Aq-smg--l>, slaodte<Aq-sfg>, slaodta<Aq-sfg>, slaoidte<Aq-sfg>, shlaodte<Aq-sfg--l>, shlaodta<Aq-sfg--l>, shlaoidte<Aq-sfg--l>, slaodte<Aq-sfd>, slaodta<Aq-sfd>, slaoidte<Aq-sfd>, shlaodte<Aq-sfd--l>, shlaodta<Aq-sfd--l>, shlaoidte<Aq-sfd--l>, , "
"slaopte<Aq-s>, slaopta<Aq-s>, slaoipte<Aq-s>, shlaopte<Aq-s--l>, shlaopta<Aq-s--l>, shlaoipte<Aq-s--l>, slaopte<Apc>, slaopta<Apc>, slaoipte<Apc>, shlaopte<Apc--l>, shlaopta<Apc--l>, shlaoipte<Apc--l>, , , slaopte<Aq-p>, slaopta<Aq-p>, slaoipte<Aq-p>, shlaopte<Aq-p--l>, shlaopta<Aq-p--l>, shlaoipte<Aq-p--l>, slaopte<Aq-smg>, slaopta<Aq-smg>, slaoipte<Aq-smg>, shlaopte<Aq-smg--l>, shlaopta<Aq-smg--l>, shlaoipte<Aq-smg--l>, slaopte<Aq-sfg>, slaopta<Aq-sfg>, slaoipte<Aq-sfg>, shlaopte<Aq-sfg--l>, shlaopta<Aq-sfg--l>, shlaoipte<Aq-sfg--l>, slaopte<Aq-sfd>, slaopta<Aq-sfd>, slaoipte<Aq-sfd>, shlaopte<Aq-sfd--l>, shlaopta<Aq-sfd--l>, shlaoipte<Aq-sfd--l>, , "
"slapach<Aq-s>, shlapach<Aq-s--l>, slapaiche<Apc>, shlapaiche<Apc--l>, , , slapach<Aq-p>, shlapach<Aq-p--l>, slapaich<Aq-smg>, shlapaich<Aq-smg--l>, slapaiche<Aq-sfg>, shlapaiche<Aq-sfg--l>, slapaich<Aq-sfd>, shlapaich<Aq-sfd--l>, , "
